,video_id,video_title,upload_date,view_count,like_count,comment_count
66,e1ua0p0PQU4,Маргинал и Владимир Гарвард Оксфорд про высшее образование по удалёнке,2021-10-27,16206,733,67
67,Qbak7sxTKW4,Маргинал и Сармат спорят про бордели и индивидуалок,2021-10-26,29762,1094,261
68,M_0u0QQcJ1M,Маргинал угарает с мультика про Геракла,2021-10-25,30145,1492,215
69,vLbvCpDWu5w,Маргинал смотрит пупы #9,2021-10-23,89135,3702,173
70,kMofKqKp6d0,Маргинал и Сармат спорят про капитализм,2021-10-22,61713,2335,480
71,-Lgi4kYtWzo,Маргинал и Влад с канала Right History про РИ и СССР,2021-10-21,25083,1272,273
72,O1se1HU4Ci4,Маргинал вновь про запланированное устаревание,2021-10-20,27563,1095,217
73,SQmJ7g3w6ZA,Маргинал смотрит оценки на Панишера и Жмилевского в чат рулетке,2021-10-19,25132,1153,350
74,D57q9zmr4KQ,Маргинал про важность знакомств для работы и бизнеса,2021-10-18,25589,1414,268
75,DeXxm1yQvbA,Маргинал судит спор про трансгуманизм и ужасное будущее,2021-10-17,58680,2528,493
76,KlARiDOC1Cc,Маргинал комментирует лекцию по марксизму,2021-10-16,35736,1031,126
77,k0SAPrdS29E,Маргинал про свою депрессию и лень,2021-10-15,83841,3866,699
78,IxaIO0lmKNc,Маргинал смотрит критику Стаса на Шевцова,2021-10-14,126545,3445,800
79,NAPWCf8T1Vc,"Маргинал договорился, что атеистов не существует",2021-10-13,23566,1200,291
80,TsbU4zF2J84,Маргинал пояснил за свою антифилософскую позицию,2021-10-12,27997,1425,105
81,74LoUBLot8s,Маргинал угарает с русской локализации Рейнджеров,2021-10-11,34014,2828,154
82,LOz2AMNjM2Q,Маргинал судит дебаты за права лгбт,2021-10-09,56925,1859,308
83,CES04U8njD0,Маргинал поясняет Дробышевскому за геев,2021-10-08,46117,1671,523
84,GLtTakMoP5w,Маргинал жестко про рэп,2021-10-07,52565,2243,414
85,b1g0WHtUwgg,Маргинал смотрит про секс в Российской империи и США,2021-10-06,27109,1229,134
86,z4p-AewI-QM,Маргинал смотрит Сёмина про школьное образование в США,2021-10-05,46144,2087,190
87,S98_2wpE4oA,Маргинал про веру и традиционализм,2021-10-04,61048,1855,198
88,OSpGK3S6m_M,Маргинал смотрит Свой/Чужой про национализм,2021-10-02,35165,1554,230
89,uUp8KkRLIV8,Маргинал про запланированное старение в индустриальном обществе,2021-10-01,31190,1323,428
90,VSSJ12UbfOc,Маргинал спорит про chad охотников и virgin земледельцев,2021-09-30,31939,1456,417
